#doc name topic proportion ...
0	file:/C:/mallet/sample-data/web/en/elizabeth_needham.txt	9	0.7515274534794238	18	0.14746013854903162	11	0.05568479400514241	1	0.019052696256521784	4	0.01886864688329447	14	8.853711916626681E-4	0	7.084592841381155E-4	16	5.86142770395231E-4	17	5.672328561639463E-4	6	5.583996974081449E-4	3	5.504956818913E-4	12	4.7997997782680375E-4	19	4.515447995294922E-4	8	4.473790368466659E-4	5	3.926191410010987E-4	15	3.845343757134552E-4	13	3.841760356853566E-4	2	3.7354482852547735E-4	10	3.679206593123462E-4	7	2.6847049048573626E-4	
1	file:/C:/mallet/sample-data/web/en/equipartition_theorem.txt	12	0.9941459931894628	18	5.186000210373595E-4	14	5.00393922582E-4	1	4.1533761740330654E-4	11	4.133363960168304E-4	0	4.004068841609399E-4	16	3.312760600673578E-4	17	3.205885583200827E-4	6	3.1559623532580915E-4	4	3.1131662746684526E-4	3	3.111290453315248E-4	9	2.808163972411961E-4	19	2.5520400436086684E-4	8	2.528495993959949E-4	5	2.2190041182316804E-4	15	2.1733106570762366E-4	13	2.1712853915834476E-4	2	2.111199955072648E-4	10	2.079413286155416E-4	7	1.5173410101517717E-4	
2	file:/C:/mallet/sample-data/web/en/gunnhild.txt	16	0.9933049225143841	18	5.992516194465271E-4	14	5.78214146363989E-4	1	4.799300612216203E-4	11	4.776176140406155E-4	0	4.626773313487695E-4	17	3.7044582521429805E-4	6	3.646771065144138E-4	4	3.597319429277439E-4	3	3.59515188408249E-4	9	3.2448838023051927E-4	12	3.1346311667284607E-4	19	2.9489280119306236E-4	8	2.921722440569283E-4	5	2.5640990309814393E-4	15	2.5112994176286577E-4	13	2.5089591870518533E-4	2	2.4395293882211006E-4	10	2.4027993225582425E-4	7	1.7533147333223412E-4	
3	file:/C:/mallet/sample-data/web/en/hawes.txt	17	0.6158722352698077	0	0.36971366165540953	3	0.009755055988101625	18	4.7439766089358036E-4	14	4.5774334124287097E-4	1	3.799367261557577E-4	11	3.781060768958995E-4	16	3.0304007256234635E-4	6	2.8869670218273716E-4	4	2.847818624691306E-4	9	2.5688128921650956E-4	12	2.481531371802644E-4	19	2.3345194332483193E-4	8	2.3129821373975152E-4	5	2.0298694957563378E-4	15	1.9880706715933268E-4	13	1.986218027602789E-4	2	1.931253913877002E-4	10	1.902176550262998E-4	7	1.3880119490817519E-4	
4	file:/C:/mallet/sample-data/web/en/hill.txt	13	0.9239828018076499	14	0.07077233682286437	18	5.029782289875491E-4	1	4.028263994581944E-4	11	4.008854608774972E-4	0	3.883454247973968E-4	16	3.212970290000221E-4	17	3.109314669424022E-4	6	3.0608952772849567E-4	4	3.019388345269082E-4	3	3.0175690292955803E-4	9	2.7235736294901875E-4	12	2.631033745434784E-4	19	2.4751649235801415E-4	8	2.4523300915031584E-4	5	2.1521610417054825E-4	15	2.107844004999036E-4	2	2.047604264104988E-4	10	2.0167751052371926E-4	7	1.471634136322832E-4	
5	file:/C:/mallet/sample-data/web/en/shiloh.txt	0	0.7832775788580439	7	0.21302496411496546	18	3.440611594896837E-4	14	3.31982464753412E-4	1	2.755525191410854E-4	11	2.7422482434221276E-4	16	2.1978253126553242E-4	17	2.1269199116902407E-4	6	2.0937987322016451E-4	4	2.0654060059697614E-4	3	2.064161506849827E-4	9	1.863054595432831E-4	12	1.799752889768089E-4	19	1.693131162454864E-4	8	1.6775110454232112E-4	5	1.4721810622066582E-4	15	1.441866089995914E-4	13	1.4405224433212965E-4	2	1.4006592267464167E-4	10	1.3795706079258832E-4	
6	file:/C:/mallet/sample-data/web/en/sunderland_echo.txt	6	0.714663049938997	14	0.23861621182380574	18	0.021224323316795947	3	0.021016852341090107	1	4.1533761740330654E-4	11	4.133363960168304E-4	0	4.004068841609399E-4	16	3.312760600673578E-4	17	3.205885583200827E-4	4	3.1131662746684526E-4	9	2.808163972411961E-4	12	2.7127499305069485E-4	19	2.5520400436086684E-4	8	2.528495993959949E-4	5	2.2190041182316804E-4	15	2.1733106570762366E-4	13	2.1712853915834476E-4	2	2.111199955072648E-4	10	2.079413286155416E-4	7	1.5173410101517717E-4	
7	file:/C:/mallet/sample-data/web/en/thespis.txt	1	0.6803953840060274	11	0.3037914348796359	8	0.010716659338736683	18	5.240251812387289E-4	14	5.056286257900112E-4	0	4.0459560649835723E-4	16	3.347415934723679E-4	17	3.239422880097451E-4	6	3.188977395027021E-4	4	3.145733619613392E-4	3	3.143838174984181E-4	9	2.83754063805801E-4	12	2.7411284541518476E-4	19	2.578737354667762E-4	5	2.2422174856450192E-4	15	2.1960460176695458E-4	13	2.1939995655410007E-4	2	2.1332855653865125E-4	10	2.1011663708924423E-4	7	1.5332141642710386E-4	
8	file:/C:/mallet/sample-data/web/en/thylacine.txt	2	0.7046422314595705	14	0.29135349434446467	18	3.835806643703961E-4	1	3.0720299413582316E-4	11	3.057227978422687E-4	0	2.9615953030181076E-4	16	2.450271616967217E-4	17	2.3712218897327435E-4	6	2.3342963499484496E-4	4	2.3026423823588901E-4	3	2.3012549377547366E-4	9	2.077048512347039E-4	12	2.006475855001248E-4	19	1.8876073577265583E-4	8	1.8701930849925145E-4	5	1.641278517901633E-4	15	1.6074815115838767E-4	13	1.605983531152452E-4	10	1.5380306545468943E-4	7	1.122295891130587E-4	
9	file:/C:/mallet/sample-data/web/en/uranus.txt	15	0.9854016673182258	17	0.009582213562029958	18	4.655791762598853E-4	14	4.492344404752679E-4	1	3.7287415722346155E-4	11	3.710775375419477E-4	0	3.594699185000768E-4	16	2.9740692037046745E-4	6	2.8333017607634473E-4	4	2.794881085467173E-4	3	2.793197045118141E-4	9	2.5210617355221095E-4	12	2.4354026741420064E-4	19	2.2911235115433408E-4	8	2.2699865682409746E-4	5	1.9921366517051755E-4	13	1.9492966120911886E-4	2	1.895354215444239E-4	10	1.8668173652124792E-4	7	1.3622104684814747E-4	
